method,w,delta,Power
FMP,0,-0.6,0.03
FMP,0,0,0.702
FMP,0.1,-0.6,0.071
FMP,0.1,0,0.945
FMP,0.2,-0.6,0.107
FMP,0.2,0,0.966
FMP,0.3,-0.6,0.145
FMP,0.3,0,0.978
FMP,0.4,-0.6,0.178
FMP,0.4,0,0.981
FMP,0.5,-0.6,0.219
FMP,0.5,0,0.987
FMP,0.6,-0.6,0.25
FMP,0.6,0,0.995
FMP,0.7,-0.6,0.31
FMP,0.7,0,0.997
FMP,0.8,-0.6,0.374
FMP,0.8,0,0.998
FMP,0.9,-0.6,0.472
FMP,0.9,0,0.999
FMP,1,-0.6,0.996
FMP,1,0,1
FPP,0,-0.6,0.032
FPP,0,0,0.704
FPP,0.1,-0.6,0.062
FPP,0.1,0,0.822
FPP,0.2,-0.6,0.127
FPP,0.2,0,0.914
FPP,0.3,-0.6,0.216
FPP,0.3,0,0.964
FPP,0.4,-0.6,0.359
FPP,0.4,0,0.988
FPP,0.5,-0.6,0.532
FPP,0.5,0,0.994
FPP,0.6,-0.6,0.699
FPP,0.6,0,0.998
FPP,0.7,-0.6,0.836
FPP,0.7,0,0.999
FPP,0.8,-0.6,0.924
FPP,0.8,0,1
FPP,0.9,-0.6,0.973
FPP,0.9,0,1
FPP,1,-0.6,0.996
FPP,1,0,1
